epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.844,2.24139,2.45563,2.87854,0.52269,0.68611,0.60687,0.37248,1.42502,1.77389,2.0866,0.0667425,3.32908e-05,3.32908e-05
2,358.261,1.6268,1.67592,2.28182,0.65782,0.82176,0.7651,0.49811,1.20327,1.34403,1.714,0.0334412,6.52917e-05,6.52917e-05
3,531.012,1.38326,1.43808,1.97139,0.70956,0.82106,0.80007,0.57202,0.98066,1.03676,1.4941,0.000138531,9.59595e-05,9.59595e-05
4,703.333,1.24974,1.30446,1.8031,0.78757,0.81166,0.83998,0.61479,0.92698,0.94035,1.3997,9.40006e-05,9.40006e-05,9.40006e-05
5,875.694,1.16932,1.21438,1.70873,0.81439,0.82742,0.85218,0.66154,0.80577,0.83347,1.30464,9.20008e-05,9.20008e-05,9.20008e-05
6,1047.08,1.11693,1.1476,1.64563,0.8093,0.83731,0.86266,0.63853,0.91723,0.83625,1.40112,9.0001e-05,9.0001e-05,9.0001e-05
7,1218.59,1.07293,1.09581,1.597,0.8458,0.83186,0.88824,0.69786,0.75569,0.74801,1.23198,8.80012e-05,8.80012e-05,8.80012e-05
8,1390.89,1.04179,1.06084,1.56327,0.84558,0.85215,0.88667,0.69943,0.78057,0.72266,1.24923,8.60014e-05,8.60014e-05,8.60014e-05
9,1562.41,1.00994,1.03324,1.52732,0.82702,0.85682,0.89426,0.70479,0.75248,0.69416,1.20911,8.40016e-05,8.40016e-05,8.40016e-05
10,1734.77,0.99587,0.99839,1.50647,0.86084,0.85589,0.90286,0.72194,0.73287,0.67115,1.17926,8.20018e-05,8.20018e-05,8.20018e-05
11,1908,0.96749,0.96813,1.47815,0.87447,0.84478,0.9111,0.73258,0.73508,0.65547,1.19861,8.0002e-05,8.0002e-05,8.0002e-05
12,2081.23,0.94681,0.94835,1.46001,0.87036,0.86291,0.91693,0.74093,0.70863,0.62643,1.1684,7.80022e-05,7.80022e-05,7.80022e-05
13,2256.5,0.93907,0.92646,1.44649,0.8917,0.86785,0.93111,0.75212,0.69963,0.60699,1.17511,7.60024e-05,7.60024e-05,7.60024e-05
14,2431.98,0.92205,0.89912,1.42689,0.83478,0.90694,0.9344,0.7644,0.68144,0.59234,1.14244,7.40026e-05,7.40026e-05,7.40026e-05
15,2606.5,0.9052,0.88444,1.41037,0.88813,0.89705,0.93852,0.75855,0.71609,0.5819,1.1545,7.20028e-05,7.20028e-05,7.20028e-05
16,2782.53,0.90132,0.86478,1.40186,0.86173,0.90679,0.94324,0.77117,0.67989,0.5613,1.1243,7.0003e-05,7.0003e-05,7.0003e-05
17,2957.54,0.88521,0.84568,1.38803,0.8984,0.89616,0.93884,0.76093,0.68539,0.55056,1.14036,6.80032e-05,6.80032e-05,6.80032e-05
18,3132.12,0.88266,0.84449,1.38447,0.87003,0.93302,0.95768,0.78816,0.66629,0.52123,1.12355,6.60034e-05,6.60034e-05,6.60034e-05
19,3307.25,0.86626,0.82614,1.36967,0.87236,0.95025,0.95779,0.78848,0.66046,0.50048,1.10124,6.40036e-05,6.40036e-05,6.40036e-05
20,3482.43,0.85472,0.80805,1.36109,0.89032,0.93528,0.96259,0.79447,0.67101,0.50371,1.11355,6.20038e-05,6.20038e-05,6.20038e-05
21,3657.85,0.8511,0.79514,1.35484,0.90497,0.91721,0.9633,0.79013,0.66347,0.50059,1.10773,6.0004e-05,6.0004e-05,6.0004e-05
22,3832.98,0.83883,0.77511,1.34186,0.90431,0.92742,0.96748,0.80018,0.65573,0.48032,1.09632,5.80042e-05,5.80042e-05,5.80042e-05
23,4005.63,0.83828,0.76976,1.33873,0.93203,0.89731,0.9686,0.80276,0.66228,0.47065,1.10648,5.60044e-05,5.60044e-05,5.60044e-05
24,4179.15,0.82969,0.76332,1.33247,0.88923,0.93809,0.96674,0.80324,0.64112,0.4667,1.07805,5.40046e-05,5.40046e-05,5.40046e-05
25,4352.54,0.82617,0.74743,1.32494,0.93055,0.9267,0.9735,0.8065,0.64191,0.44644,1.07724,5.20048e-05,5.20048e-05,5.20048e-05
26,4525.98,0.81581,0.73872,1.31974,0.92353,0.94142,0.97715,0.81365,0.63728,0.43475,1.07668,5.0005e-05,5.0005e-05,5.0005e-05
27,4699.39,0.81167,0.73582,1.31208,0.94001,0.92409,0.97691,0.81484,0.63694,0.43236,1.07578,4.80052e-05,4.80052e-05,4.80052e-05
28,4873,0.80506,0.72602,1.3032,0.94203,0.94269,0.97793,0.81608,0.64107,0.41534,1.06683,4.60054e-05,4.60054e-05,4.60054e-05
29,5046.79,0.80111,0.71352,1.30326,0.92376,0.9354,0.97421,0.81348,0.62789,0.4384,1.06628,4.40056e-05,4.40056e-05,4.40056e-05
30,5220.55,0.79792,0.70879,1.29795,0.93456,0.93478,0.97816,0.81953,0.62617,0.41741,1.06277,4.20058e-05,4.20058e-05,4.20058e-05
31,5394.48,0.78613,0.70316,1.2883,0.94376,0.93813,0.97953,0.82577,0.62822,0.4082,1.06028,4.0006e-05,4.0006e-05,4.0006e-05
32,5568.69,0.78046,0.69251,1.28038,0.93482,0.93312,0.97878,0.82327,0.63082,0.41292,1.06231,3.80062e-05,3.80062e-05,3.80062e-05
33,5742.66,0.77894,0.69568,1.28096,0.94617,0.93925,0.97894,0.82481,0.62645,0.40892,1.06395,3.60064e-05,3.60064e-05,3.60064e-05
34,5916.3,0.78004,0.68368,1.28264,0.93788,0.94693,0.97964,0.82668,0.61701,0.40509,1.05721,3.40066e-05,3.40066e-05,3.40066e-05
35,6090.99,0.76878,0.68076,1.2727,0.94351,0.93754,0.97877,0.82776,0.61711,0.40267,1.0466,3.20068e-05,3.20068e-05,3.20068e-05
36,6264.12,0.76816,0.67606,1.27459,0.9533,0.93619,0.97939,0.8281,0.6118,0.39678,1.04482,3.0007e-05,3.0007e-05,3.0007e-05
37,6438.82,0.76608,0.66669,1.27028,0.95327,0.93836,0.98023,0.82864,0.61541,0.39883,1.0472,2.80072e-05,2.80072e-05,2.80072e-05
38,6613.24,0.76507,0.67237,1.26729,0.94279,0.94128,0.97912,0.82869,0.61547,0.39934,1.04852,2.60074e-05,2.60074e-05,2.60074e-05
39,6787.85,0.76008,0.66665,1.26599,0.94044,0.94698,0.97986,0.83097,0.61378,0.39517,1.04972,2.40076e-05,2.40076e-05,2.40076e-05
40,6962.41,0.74775,0.65293,1.25365,0.95505,0.9357,0.97988,0.8338,0.60869,0.39143,1.04569,2.20078e-05,2.20078e-05,2.20078e-05
41,7137.65,0.62785,0.47049,1.1036,0.95039,0.9443,0.98,0.83189,0.61025,0.39196,1.04179,2.0008e-05,2.0008e-05,2.0008e-05
42,7311.28,0.60952,0.44657,1.08933,0.95466,0.92773,0.98087,0.83373,0.60234,0.39164,1.03627,1.80082e-05,1.80082e-05,1.80082e-05
43,7483.86,0.60164,0.43985,1.08455,0.94467,0.94601,0.98102,0.83477,0.60127,0.38417,1.0329,1.60084e-05,1.60084e-05,1.60084e-05
44,7655.92,0.59528,0.43629,1.0815,0.94494,0.94471,0.98063,0.83698,0.59889,0.38613,1.03321,1.40086e-05,1.40086e-05,1.40086e-05
45,7828.1,0.59125,0.4352,1.07761,0.94806,0.94616,0.9808,0.83846,0.59666,0.38589,1.03031,1.20088e-05,1.20088e-05,1.20088e-05
46,8000.77,0.58735,0.42979,1.07457,0.951,0.94104,0.98111,0.83782,0.59526,0.38433,1.03246,1.0009e-05,1.0009e-05,1.0009e-05
47,8172.12,0.58601,0.4278,1.07504,0.95421,0.94492,0.98113,0.83896,0.59372,0.38161,1.02829,8.0092e-06,8.0092e-06,8.0092e-06
48,8344.83,0.58168,0.42292,1.07005,0.95283,0.94571,0.98138,0.83886,0.59184,0.37846,1.02817,6.0094e-06,6.0094e-06,6.0094e-06
49,8516.19,0.57798,0.41919,1.06624,0.95179,0.94576,0.98134,0.83953,0.59089,0.37732,1.02718,4.0096e-06,4.0096e-06,4.0096e-06
50,8688.35,0.57529,0.41701,1.0653,0.95066,0.94529,0.98148,0.83991,0.59046,0.37661,1.02728,2.0098e-06,2.0098e-06,2.0098e-06
